"Colore_occhi","Colore_capelli"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rojo"
"Pardo Oscuro","Rubio"
"Pardo Oscuro","Rubio"
"Pardo Oscuro","Rubio"
"Pardo Oscuro","Rubio"
"Pardo Oscuro","Rubio"
"Pardo Oscuro","Rubio"
"Pardo Oscuro","Rubio"
"Pardo Claro","Negro"
"Pardo Claro","Negro"
"Pardo Claro","Negro"
"Pardo Claro","Negro"
"Pardo Claro","Negro"
"Pardo Claro","Negro"
"Pardo Claro","Negro"
"Pardo Claro","Negro"
"Pardo Claro","Negro"
"Pardo Claro","Negro"
"Pardo Claro","Negro"
"Pardo Claro","Negro"
"Pardo Claro","Negro"
"Pardo Claro","Negro"
"Pardo Claro","Negro"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Pardo"
"Pardo Claro","Rojo"
"Pardo Claro","Rojo"
"Pardo Claro","Rojo"
"Pardo Claro","Rojo"
"Pardo Claro","Rojo"
"Pardo Claro","Rojo"
"Pardo Claro","Rojo"
"Pardo Claro","Rojo"
"Pardo Claro","Rojo"
"Pardo Claro","Rojo"
"Pardo Claro","Rojo"
"Pardo Claro","Rojo"
"Pardo Claro","Rojo"
"Pardo Claro","Rojo"
"Pardo Claro","Rubio"
"Pardo Claro","Rubio"
"Pardo Claro","Rubio"
"Pardo Claro","Rubio"
"Pardo Claro","Rubio"
"Pardo Claro","Rubio"
"Pardo Claro","Rubio"
"Pardo Claro","Rubio"
"Pardo Claro","Rubio"
"Pardo Claro","Rubio"
"Verde","Negro"
"Verde","Negro"
"Verde","Negro"
"Verde","Negro"
"Verde","Negro"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Pardo"
"Verde","Rojo"
"Verde","Rojo"
"Verde","Rojo"
"Verde","Rojo"
"Verde","Rojo"
"Verde","Rojo"
"Verde","Rojo"
"Verde","Rojo"
"Verde","Rojo"
"Verde","Rojo"
"Verde","Rojo"
"Verde","Rojo"
"Verde","Rojo"
"Verde","Rojo"
"Verde","Rubio"
"Verde","Rubio"
"Verde","Rubio"
"Verde","Rubio"
"Verde","Rubio"
"Verde","Rubio"
"Verde","Rubio"
"Verde","Rubio"
"Verde","Rubio"
"Verde","Rubio"
"Verde","Rubio"
"Verde","Rubio"
"Verde","Rubio"
"Verde","Rubio"
"Verde","Rubio"
"Verde","Rubio"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Negro"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Pardo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rojo"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
"Azul","Rubio"
